feature_id,feature_name,category,formula,lookback,required_columns,optional_columns,causal_safe,usable_from_rule,purpose,candidate_frameworks,selected_framework_feature,regime_related,prediction_related,lookahead_risk,implementation_status,priority
F042,hmm_filtered_state,statistical,"forward-filter P(state|bars<=t) from train-only-fit HMM",train_window,close,,true,next_bar,"latent state (survey; train-fit, NON-causal if smoothed/Viterbi)",stat_hmm_gaussian,false,true,true,high,not_feasible_no_data,low
F050,rsi14,momentum,"Wilder RSI(close,14)",14,close,,true,next_bar,"momentum (survey; not used)",momentum_survey,false,true,true,low,spec_only,low
F051,macd_hist,momentum,"MACD(12,26,9) histogram",35,close,,true,next_bar,"momentum (survey; not used)",momentum_survey,false,true,true,low,spec_only,low
F060,bb_zscore,mean_reversion,"(close-SMA20)/STD20",20,close,,true,next_bar,"mean-reversion (survey; not used)",mean_reversion_survey,false,true,true,low,spec_only,low
F070,volume_zscore,volume,"(volume-mean(volume,N))/std(volume,N), N=96",96,volume,,true,next_bar,"liquidity confidence (survey; data absent this run)",SL_03_volume_microstructure,false,true,true,low,blocked_no_volume,low
F071,amihud_illiq,volume,"|log_return|/volume",1,"close,volume",,true,next_bar,"illiquidity proxy (survey; data absent this run)",SL_03_volume_microstructure,false,true,true,medium,blocked_no_volume,low
F080,hour_of_day,time,"UTC hour from timestamp (0-23)",0,timestamp,,true,current_bar,"session annotation (survey; not a price regime)",SL_01_session_window,false,false,true,none,spec_only,low
F081,day_of_week,time,"UTC weekday from timestamp (0-6)",0,timestamp,,true,current_bar,"weekday/weekend annotation (survey)",SL_01_session_window,false,false,true,none,spec_only,low
F082,minutes_to_funding,time,"minutes to next 00/08/16 UTC funding settlement",0,timestamp,,true,current_bar,"funding-proximity no-trade filter (survey)",SL_02_funding_proximity,false,false,true,none,spec_only,low
F090,funding_rate,microstructure,"Binance funding rate (per 8h)",1,,funding_rate,true,next_funding,"funding regime annotation (optional data absent)",SL_02_funding_proximity,false,false,true,medium,blocked_no_data,low
F091,open_interest_change,microstructure,"OI[t]-OI[t-1]",1,,open_interest,true,next_bar,"leverage-state annotation (optional data absent)",SL_03_volume_microstructure,false,false,true,medium,blocked_no_data,low
